"Gene ID","name","HRT D7 T3","HRT D7 P5","HRT D4 T1","HRT D4 T3","HRT D4 P2","HRT D7 T1","HRT D7 T4","HRT D7 P4","HRT D7 P6","HRT D4 T2","HRT D4 P1","HRT D4 P3"
"ENSMUSG00000039108.14","Lsm14b",41,41,67,16,20,36,21,55,75,30,40,13
"ENSMUSG00000085816.1","Gm13052",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032966.14","Fkbp1a",202,182,370,122,302,242,181,392,344,167,397,150
"ENSMUSG00000106956.1","ENSMUSG00000106956.1",1,4,5,3,2,9,0,8,4,10,9,2
"ENSMUSG00000111023.1","ENSMUSG00000111023.1",0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000066268.6","Olfr586",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028797.20","Tmem234",66,84,118,28,43,76,42,110,153,63,72,31
"ENSMUSG00000027133.3","Nop10",59,76,95,21,95,80,50,107,90,46,136,68
"ENSMUSG00000094686.1","Ccl21a_ENSMUSG00000094686.1",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082510.1","Gm11793",2,2,1,0,2,0,2,3,2,2,3,0
"ENSMUSG00000014813.9","Stc1",8,0,8,0,1,3,0,0,0,0,0,3
"ENSMUSG00000084131.1","Rpl3-ps2",28,35,59,12,39,35,15,53,69,42,56,24
"ENSMUSG00000030826.19","Bcat2",5,27,18,4,13,14,5,16,8,12,23,6
"ENSMUSG00000019878.8","Hsf2",9,4,9,4,18,7,10,20,20,6,14,6
"ENSMUSG00000095814.1","Gm14374",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000063550.8","Nup98",68,74,92,28,128,96,31,122,135,45,55,56
"ENSMUSG00000039047.17","Pigk",35,57,57,20,44,48,5,48,122,55,49,52
"ENSMUSG00000038909.16","Kat7",103,148,243,54,155,206,139,252,302,110,173,79
"ENSMUSG00000118334.1","ENSMUSG00000118334.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025602.13","Zfp202",1,3,8,1,2,1,2,0,0,7,0,2
"ENSMUSG00000081576.1","Gm11279",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098516.1","Mir7651",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022665.15","Ccdc80",18,9,17,5,11,13,4,6,7,8,10,1
"ENSMUSG00000030917.13","Tmem159",33,40,87,10,10,36,12,54,37,20,25,26
"ENSMUSG00000097740.2","E030044B06Rik",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000058318.15","Phf21a",214,239,288,123,183,329,169,281,317,144,186,95
"ENSMUSG00000023452.19","Pisd",49,52,104,17,43,75,47,95,122,43,64,20
"ENSMUSG00000022386.12","Trmu",5,2,8,0,6,3,1,5,8,5,12,6
"ENSMUSG00000025968.16","Ndufs1",104,108,279,52,184,121,93,200,251,235,273,100
"ENSMUSG00000059981.12","Taok2",17,17,34,5,18,24,14,36,28,23,16,18
"ENSMUSG00000034216.12","Vps18",40,36,52,11,38,47,28,67,72,26,34,13
"ENSMUSG00000033306.15","Lpp",58,175,263,42,99,117,64,240,208,146,105,81
"ENSMUSG00000022686.14","B3gnt5",16,4,13,23,27,5,3,17,5,3,24,15
"ENSMUSG00000051111.16","Sv2c",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000050567.16","Maml1",9,18,35,11,14,14,11,43,39,13,12,33
"ENSMUSG00000067336.6","Bmpr2",115,96,173,30,83,102,32,121,112,68,83,60
"ENSMUSG00000005378.17","Wbscr22",33,36,107,25,65,40,38,79,36,42,90,59
"ENSMUSG00000110446.1","ENSMUSG00000110446.1",0,0,2,0,0,0,0,1,0,0,3,0
"ENSMUSG00000026698.8","Pigc",30,41,68,24,31,72,18,44,119,74,58,33
"ENSMUSG00000038462.3","Uqcrfs1",189,227,450,93,221,271,156,429,422,310,316,208
"ENSMUSG00000000751.13","Rpa1",13,18,49,34,25,24,5,28,28,24,64,14
"ENSMUSG00000083267.2","Olfr1127-ps1",0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000083716.4","Gm13436",166,157,207,105,207,208,146,191,288,154,324,113
"ENSMUSG00000049561.9","Olfr95",0,0,0,0,0,0,0,12,0,0,0,0
"ENSMUSG00000118094.1","ENSMUSG00000118094.1",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000035509.17","Fbxl21",0,2,0,0,0,0,0,0,2,0,0,2
"ENSMUSG00000045763.8","Basp1",622,710,839,282,992,625,437,914,960,545,792,425
"ENSMUSG00000020464.15","Pnpt1",72,69,113,51,116,54,46,92,111,53,105,41
"ENSMUSG00000039715.8","Wdr34",4,4,9,0,0,4,0,7,4,3,7,0
"ENSMUSG00000075288.2","Gm6913",0,0,0,0,0,0,0,0,1,1,0,2
"ENSMUSG00000083100.1","Gm6044",0,0,0,0,2,0,4,1,0,0,0,0
