"Gene ID","name","HRT D7 T3","HRT D7 P5","HRT D4 T1","HRT D4 T3","HRT D4 P2","HRT D7 T1","HRT D7 T4","HRT D7 P4","HRT D7 P6","HRT D4 T2","HRT D4 P1","HRT D4 P3"
"ENSMUSG00000104504.1","RP23-200C17.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089909.1","Gm16164",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000080744.1","Gm12710",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085625.1","Gm8813",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000071686.2","Tex13a",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101506.1","Gm28385",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084090.1","Gm11245",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106845.1","ENSMUSG00000106845.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000107793.1","ENSMUSG00000107793.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064939.1","Gm23721",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110604.1","ENSMUSG00000110604.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082814.1","Gm12956",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000031620.16","1700007B14Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000113203.1","ENSMUSG00000113203.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095102.1","n-R5s167",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000088232.1","Gm25429",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000043865.3","Tas2r118",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000081567.1","Gm14838",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022780.5","Mfi2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000019756.10","Prl8a1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000112638.1","ENSMUSG00000112638.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000115392.1","ENSMUSG00000115392.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073602.10","Serpinb3b",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101182.1","Gm29209",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000095438.1","Gm21747",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000107956.1","ENSMUSG00000107956.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000062528.2","Tas2r109",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086036.1","Gm14254",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000086364.1","Gm11751",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000100437.1","Gm29152",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114004.1","ENSMUSG00000114004.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000064890.1","Gm22505",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065164.1","Gm23814",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000110383.1","ENSMUSG00000110383.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042863.5","Olfr1026",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106223.1","ENSMUSG00000106223.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102637.1","RP23-23B15.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111990.1","ENSMUSG00000111990.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000051618.5","Ubqln3",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102701.1","RP23-424K5.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104368.1","RP24-150H14.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083513.2","Olfr647-ps1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000111774.1","ENSMUSG00000111774.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116743.1","ENSMUSG00000116743.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000109401.1","ENSMUSG00000109401.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099571.1","Gm18182",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085293.2","Gm13817",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000047841.8","BC051628",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000087044.1","1700042G15Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114804.1","ENSMUSG00000114804.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000018595.6","Glra4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000082799.1","Gm14554",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065399.2","Mir133a-1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000103245.1","RP24-61J18.2",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094703.1","Gm24486",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096144.3","B020004C17Rik",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000099525.1","Gm21872",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000107630.1","ENSMUSG00000107630.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000104553.1","ENSMUSG00000104553.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000057240.14","Ms4a13",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000084754.1","Gm12532",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000065185.1","Gm25137",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000098670.1","Gm27818",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000083191.1","Gm15571",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105675.1","ENSMUSG00000105675.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000102633.1","RP23-278E1.4",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000724.10","Cryba1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025389.7","Mip",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038891.3","Prl3b1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105249.1","ENSMUSG00000105249.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000108986.1","ENSMUSG00000108986.1",0,0,0,0,0,0,0,0,0,0,0,0
