"Gene ID","name","HRT D4 P1","HRT D4 P2","HRT D4 P3","HRT D4 T1","HRT D4 T2","HRT D4 T3","HRT D7 P4","HRT D7 P5","HRT D7 P6","HRT D7 T1","HRT D7 T3","HRT D7 T4"
"ENSMUSG00000020315.18","Sptbn1",45,40,38,104,44,27,118,41,131,76,60,43
"ENSMUSG00000045482.16","Trrap",35,55,30,77,52,16,73,76,75,43,33,14
"ENSMUSG00000079469.10","Pigb",10,7,7,23,8,8,15,10,2,12,8,7
"ENSMUSG00000102653.1","RP24-141F9.2",2,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000106496.1","ENSMUSG00000106496.1",4,4,2,1,2,1,0,0,3,2,0,5
"ENSMUSG00000082965.1","Gm6754",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039089.15","L3mbtl3",16,9,5,28,2,0,12,10,33,28,23,7
"ENSMUSG00000034209.4","Rasl10a",1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114152.1","ENSMUSG00000114152.1",0,4,0,0,1,0,9,2,0,12,2,3
"ENSMUSG00000038544.14","Inip",13,40,15,26,16,14,22,12,22,24,21,12
"ENSMUSG00000111695.1","ENSMUSG00000111695.1",0,4,0,0,0,0,0,1,0,4,5,0
"ENSMUSG00000115356.1","ENSMUSG00000115356.1",0,0,3,0,0,0,1,5,0,0,0,1
"ENSMUSG00000048856.9","Slc25a47",0,0,3,0,1,0,0,0,1,0,0,0
"ENSMUSG00000068854.7","Hist2h2be",17,27,7,29,22,3,60,20,20,33,27,29
"ENSMUSG00000027996.13","Sfrp2",31,6,17,43,56,6,91,140,161,222,180,61
"ENSMUSG00000054675.5","Tmem119",45,19,13,67,32,27,101,41,126,133,62,63
"ENSMUSG00000089937.1","Gm7281",1,2,0,10,0,2,5,9,7,2,3,1
"ENSMUSG00000048498.7","Cd300e",4,3,1,2,7,0,8,4,3,25,14,11
"ENSMUSG00000037603.7","Gm5519",0,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000112413.1","ENSMUSG00000112413.1",17,13,10,15,15,6,29,8,22,18,4,6
"ENSMUSG00000031778.13","Cx3cl1",0,0,0,6,2,0,0,0,8,1,1,1
"ENSMUSG00000028838.11","Extl1",0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000002257.8","Def6",21,14,15,50,13,3,32,16,39,19,16,9
"ENSMUSG00000082202.3","Gm4910",0,0,0,1,0,0,0,0,0,6,1,1
"ENSMUSG00000036949.16","Slc39a12",0,0,1,6,3,0,3,0,9,1,9,0
"ENSMUSG00000105137.1","ENSMUSG00000105137.1",0,2,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000046323.8","Dppa3",17,19,13,24,10,2,7,11,9,4,4,8
"ENSMUSG00000115119.1","ENSMUSG00000115119.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000032387.15","Rbpms2",0,0,0,0,0,0,0,0,0,5,2,0
"ENSMUSG00000107446.1","ENSMUSG00000107446.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000024130.16","Abca3",20,23,5,56,30,12,24,21,34,27,16,20
"ENSMUSG00000117636.1","ENSMUSG00000117636.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000114341.1","ENSMUSG00000114341.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000116808.1","ENSMUSG00000116808.1",1,0,0,3,1,0,0,0,0,0,0,0
"ENSMUSG00000090381.2","Gm6158",9,13,7,17,10,1,12,8,19,6,10,5
"ENSMUSG00000103952.1","RP23-182B7.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000101264.1","Gm28347",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000253.13","Gmpr",11,9,25,18,11,0,26,9,12,14,8,3
"ENSMUSG00000104177.1","RP24-356H12.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000002320.15","Tm9sf1",1,4,0,6,0,0,2,0,5,3,4,5
"ENSMUSG00000087034.4","Cbfa2t2-ps1",0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042842.11","Serpinb6b",1,1,2,6,4,4,9,7,10,3,10,9
"ENSMUSG00000017697.3","Ada",6,4,4,19,3,2,6,3,13,4,1,0
"ENSMUSG00000118047.1","ENSMUSG00000118047.1",0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000027536.6","Chmp4c",0,0,0,1,0,0,0,1,0,0,0,0
"ENSMUSG00000073492.2","Gm10521",2,0,0,0,8,0,0,1,0,6,0,1
"ENSMUSG00000014243.5","Zswim7",10,4,0,14,6,2,9,6,0,6,5,3
"ENSMUSG00000024777.10","Ppp2r5b",8,1,1,10,1,0,6,4,1,3,2,0
"ENSMUSG00000040272.14","Accs",1,7,7,8,3,2,12,3,19,9,1,10
